z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3       s8 
3.3435747027e-02 2.8028258215e+04 6.5946368585e-01
3.5740699619e-02 2.6711644383e+04 6.5946368585e-01
3.8204550743e-02 2.5392724390e+04 6.5946368585e-01
4.0838252753e-02 2.4078603727e+04 6.5946368585e-01
4.3653514236e-02 2.2774165932e+04 6.5946368585e-01
4.6478152275e-02 2.1559557237e+04 6.5946368585e-01
4.9302790314e-02 2.0430080177e+04 6.5946368585e-01
5.2127432078e-02 1.9377764067e+04 6.5946368585e-01
5.4952070117e-02 1.8395760951e+04 6.5946368585e-01
5.7776708156e-02 1.7478136074e+04 6.5946368585e-01
6.0601349920e-02 1.6619685209e+04 6.5946368585e-01
6.3425987959e-02 1.5815793190e+04 6.5946368585e-01
6.6250629723e-02 1.5062319729e+04 6.5946368585e-01
6.9075264037e-02 1.4355519861e+04 6.5946368585e-01
7.1899905801e-02 1.3691979121e+04 6.5946368585e-01
7.4724547565e-02 1.3068581565e+04 6.5946368585e-01
7.7549181879e-02 1.2482465868e+04 6.5946368585e-01
8.0373823643e-02 1.1930996418e+04 6.5946368585e-01
8.3198465407e-02 1.1411750652e+04 6.5946368585e-01
8.6023099720e-02 1.0922493470e+04 6.5946368585e-01
8.8847741485e-02 1.0461158421e+04 6.5946368585e-01
9.1672383249e-02 1.0025841243e+04 6.5946368585e-01
9.5292858779e-02 9.5031191668e+03 6.5946368585e-01
9.8913334310e-02 9.0168679210e+03 6.5946368585e-01
1.0253380984e-01 8.5640189629e+03 6.5946368585e-01
1.0615429282e-01 8.1417934690e+03 6.5946368585e-01
1.0977476835e-01 7.7476764378e+03 6.5946368585e-01
1.1339524388e-01 7.3793852045e+03 6.5946368585e-01
1.1701571941e-01 7.0348493798e+03 6.5946368585e-01
1.2063620240e-01 6.7121881257e+03 6.5946368585e-01
1.2425667793e-01 6.4096937586e+03 6.5946368585e-01
1.2787716091e-01 6.1258101599e+03 6.5946368585e-01
1.3149763644e-01 5.8591224907e+03 6.5946368585e-01
1.3511811197e-01 5.6083393125e+03 6.5946368585e-01
1.3873858750e-01 5.3722826879e+03 6.5946368585e-01
1.4235906303e-01 5.1498765985e+03 6.5946368585e-01
1.4597953856e-01 4.9401370815e+03 6.5946368585e-01
1.4960001409e-01 4.7421634197e+03 6.5946368585e-01
1.5322048962e-01 4.5551302164e+03 6.5946368585e-01
1.5684096515e-01 4.3782803051e+03 6.5946368585e-01
1.6046145558e-01 4.2109177023e+03 6.5946368585e-01
1.6408193111e-01 4.0524046041e+03 6.5946368585e-01
1.6770240664e-01 3.9021521190e+03 6.5946368585e-01
1.7132288217e-01 3.7596184262e+03 6.5946368585e-01
1.7494335771e-01 3.6243039094e+03 6.5946368585e-01
1.7856383324e-01 3.4957474094e+03 6.5946368585e-01
1.8218430877e-01 3.3735228337e+03 6.5946368585e-01
1.8580478430e-01 3.2572361100e+03 6.5946368585e-01
1.8942527473e-01 3.1465219864e+03 6.5946368585e-01
1.9304575026e-01 3.0410433307e+03 6.5946368585e-01
1.9666622579e-01 2.9404861464e+03 6.5946368585e-01
2.0028670132e-01 2.8445593749e+03 6.5946368585e-01
2.0390717685e-01 2.7529925687e+03 6.5946368585e-01
2.0752765238e-01 2.6655342124e+03 6.5946368585e-01
2.1114812791e-01 2.5819501960e+03 6.5946368585e-01
