z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.5300000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3       s8 
1.3873858750e-01 5.3724221320e+03 3.9929411076e-01
1.4235906303e-01 5.1500325781e+03 3.9929411076e-01
1.4597953856e-01 4.9403069226e+03 3.9929411076e-01
1.4960001409e-01 4.7423448071e+03 3.9929411076e-01
1.5322048962e-01 4.5553211438e+03 3.9929411076e-01
1.5684096515e-01 4.3784790329e+03 3.9929411076e-01
1.6046145558e-01 4.2111227213e+03 3.9929411076e-01
1.6408193111e-01 4.0526146046e+03 3.9929411076e-01
1.6770240664e-01 3.9023659646e+03 3.9929411076e-01
1.7132288217e-01 3.7598351308e+03 3.9929411076e-01
1.7494335771e-01 3.6245226175e+03 3.9929411076e-01
1.7856383324e-01 3.4959673794e+03 3.9929411076e-01
1.8218430877e-01 3.3737434235e+03 3.9929411076e-01
1.8580478430e-01 3.2574567639e+03 3.9929411076e-01
1.8942527473e-01 3.1467422245e+03 3.9929411076e-01
1.9304575026e-01 3.0412627392e+03 3.9929411076e-01
1.9666622579e-01 2.9407043697e+03 3.9929411076e-01
2.0028670132e-01 2.8447761079e+03 3.9929411076e-01
2.0390717685e-01 2.7532075508e+03 3.9929411076e-01
2.0752765238e-01 2.6657472220e+03 3.9929411076e-01
2.1114812791e-01 2.5821610456e+03 3.9929411076e-01
2.1476860344e-01 2.5022309515e+03 3.9929411076e-01
2.1838907898e-01 2.4257536135e+03 3.9929411076e-01
2.2200956941e-01 2.3525390030e+03 3.9929411076e-01
2.2563004494e-01 2.2824105258e+03 3.9929411076e-01
2.2925052047e-01 2.2152022573e+03 3.9929411076e-01
2.3287099600e-01 2.1507592851e+03 3.9929411076e-01
2.3649147153e-01 2.0889365957e+03 3.9929411076e-01
2.4011194706e-01 2.0295983418e+03 3.9929411076e-01
2.4373242259e-01 1.9726171710e+03 3.9929411076e-01
2.4735289812e-01 1.9178736063e+03 3.9929411076e-01
2.5097337365e-01 1.8652554807e+03 3.9929411076e-01
2.5459384918e-01 1.8146574185e+03 3.9929411076e-01
2.5821432471e-01 1.7659803550e+03 3.9929411076e-01
2.6183480024e-01 1.7191310970e+03 3.9929411076e-01
2.6545527577e-01 1.6740219184e+03 3.9929411076e-01
2.6907578111e-01 1.6305698343e+03 3.9929411076e-01
2.7269625664e-01 1.5886976735e+03 3.9929411076e-01
2.7631673217e-01 1.5483316164e+03 3.9929411076e-01
2.7993720770e-01 1.5094023435e+03 3.9929411076e-01
2.8355768323e-01 1.4718443990e+03 3.9929411076e-01
2.8717815876e-01 1.4355959407e+03 3.9929411076e-01
2.9079863429e-01 1.4005985058e+03 3.9929411076e-01
