z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.6875000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3       s8 
8.2894701336e-05 5.3793638137e+02 3.7732102432e-01
8.8609194791e-05 5.7347748562e+02 3.7732102432e-01
9.4717637694e-05 6.1136537194e+02 3.7732102432e-01
1.0124716937e-04 6.5175432036e+02 3.7732102432e-01
1.0822682816e-04 6.9480895342e+02 3.7732102432e-01
1.1568764603e-04 7.4070487920e+02 3.7732102432e-01
1.2366278679e-04 7.8962863776e+02 3.7732102432e-01
1.3218770619e-04 8.4177936232e+02 3.7732102432e-01
1.4130031923e-04 8.9736894010e+02 3.7732102432e-01
1.5104110935e-04 9.5662292326e+02 3.7732102432e-01
1.6145341215e-04 1.0197814935e+03 3.7732102432e-01
1.7258350272e-04 1.0870999979e+03 3.7732102432e-01
1.8448085757e-04 1.1588505568e+03 3.7732102432e-01
1.9719838747e-04 1.2353223312e+03 3.7732102432e-01
2.1079262660e-04 1.3168229167e+03 3.7732102432e-01
2.2532400908e-04 1.4036793076e+03 3.7732102432e-01
2.4085713085e-04 1.4962385402e+03 3.7732102432e-01
2.5746106985e-04 1.5948699435e+03 3.7732102432e-01
2.7520960430e-04 1.6999647103e+03 3.7732102432e-01
2.9418169288e-04 1.8119386840e+03 3.7732102432e-01
3.1446164940e-04 1.9312323586e+03 3.7732102432e-01
3.3613966662e-04 2.0583121643e+03 3.7732102432e-01
3.5931204911e-04 2.1936723977e+03 3.7732102432e-01
3.8408191176e-04 2.3378354352e+03 3.7732102432e-01
4.1055929614e-04 2.4913536624e+03 3.7732102432e-01
4.3886195635e-04 2.6548088314e+03 3.7732102432e-01
4.6911570826e-04 2.8288159188e+03 3.7732102432e-01
5.0145509886e-04 3.0140203394e+03 3.7732102432e-01
5.3602381376e-04 3.2111018040e+03 3.7732102432e-01
5.7297560852e-04 3.4207730338e+03 3.7732102432e-01
6.1247474514e-04 3.6437786888e+03 3.7732102432e-01
6.5469677793e-04 3.8808998684e+03 3.7732102432e-01
6.9982954301e-04 4.1329502538e+03 3.7732102432e-01
7.4807356577e-04 4.4007739642e+03 3.7732102432e-01
7.9964339966e-04 4.6852502726e+03 3.7732102432e-01
8.5476832464e-04 4.9872871750e+03 3.7732102432e-01
9.1369333677e-04 5.3078252492e+03 3.7732102432e-01
9.7668042872e-04 5.6478239359e+03 3.7732102432e-01
1.0440096958e-03 6.0082756861e+03 3.7732102432e-01
1.1159804417e-03 6.3901866691e+03 3.7732102432e-01
1.1929126922e-03 6.7945819175e+03 3.7732102432e-01
1.2751482427e-03 7.2224928942e+03 3.7732102432e-01
1.3630529866e-03 7.6749544922e+03 3.7732102432e-01
1.4570176136e-03 8.1529943159e+03 3.7732102432e-01
1.5574598219e-03 8.6576215359e+03 3.7732102432e-01
1.6648261808e-03 9.1898067391e+03 3.7732102432e-01
1.7795939930e-03 9.7504759273e+03 3.7732102432e-01
1.9022736233e-03 1.0340497656e+04 3.7732102432e-01
2.0334103610e-03 1.0960653882e+04 3.7732102432e-01
2.1735872142e-03 1.1611630532e+04 3.7732102432e-01
2.3234274704e-03 1.2293995212e+04 3.7732102432e-01
2.4835972581e-03 1.3008192916e+04 3.7732102432e-01
2.6548085734e-03 1.3754492014e+04 3.7732102432e-01
2.8378227726e-03 1.4532985106e+04 3.7732102432e-01
3.0334533658e-03 1.5343552154e+04 3.7732102432e-01
3.2425699755e-03 1.6185821043e+04 3.7732102432e-01
3.4661025274e-03 1.7059143572e+04 3.7732102432e-01
3.7050447427e-03 1.7962562873e+04 3.7732102432e-01
3.9604585618e-03 1.8894748246e+04 3.7732102432e-01
4.2334804311e-03 1.9853991732e+04 3.7732102432e-01
4.5253229327e-03 2.0838120658e+04 3.7732102432e-01
4.8372847959e-03 2.1845521380e+04 3.7732102432e-01
5.1707518287e-03 2.2870968847e+04 3.7732102432e-01
5.5272071622e-03 2.3911709061e+04 3.7732102432e-01
5.9082354419e-03 2.4963393243e+04 3.7732102432e-01
