z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
1.4625000000e+00        0.022445000000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3       s8 
2.8378227726e-03 1.4538872500e+04 4.0946019559e-01
3.0334533658e-03 1.5349707111e+04 4.0946019559e-01
3.2425699755e-03 1.6192248704e+04 4.0946019559e-01
3.4661025274e-03 1.7065850731e+04 4.0946019559e-01
3.7050447427e-03 1.7969549198e+04 4.0946019559e-01
3.9604585618e-03 1.8902020432e+04 4.0946019559e-01
4.2334804311e-03 1.9861544679e+04 4.0946019559e-01
4.5253229327e-03 2.0845950766e+04 4.0946019559e-01
4.8372847959e-03 2.1853628152e+04 4.0946019559e-01
5.1707518287e-03 2.2879337481e+04 4.0946019559e-01
5.5272071622e-03 2.3920325108e+04 4.0946019559e-01
5.9082354419e-03 2.4972251599e+04 4.0946019559e-01
6.3155302778e-03 2.6029480062e+04 4.0946019559e-01
6.7509030923e-03 2.7087334684e+04 4.0946019559e-01
7.2162891738e-03 2.8138851987e+04 4.0946019559e-01
7.7137574553e-03 2.9176922875e+04 4.0946019559e-01
8.2455193624e-03 3.0192888868e+04 4.0946019559e-01
8.8139399886e-03 3.1177715792e+04 4.0946019559e-01
9.4215450808e-03 3.2121647205e+04 4.0946019559e-01
1.0071036406e-02 3.3013802491e+04 4.0946019559e-01
1.0765301995e-02 3.3842537990e+04 4.0946019559e-01
1.1507427320e-02 3.4595112079e+04 4.0946019559e-01
1.2300713919e-02 3.5258119118e+04 4.0946019559e-01
1.3148685917e-02 3.5817492353e+04 4.0946019559e-01
1.4055115171e-02 3.6258716530e+04 4.0946019559e-01
1.5024030581e-02 3.6567156984e+04 4.0946019559e-01
1.6059739515e-02 3.6728412044e+04 4.0946019559e-01
1.7166847363e-02 3.6728825600e+04 4.0946019559e-01
1.8350275233e-02 3.6556075414e+04 4.0946019559e-01
1.9615285099e-02 3.6200073031e+04 4.0946019559e-01
2.0967502147e-02 3.5653895748e+04 4.0946019559e-01
2.2412935272e-02 3.4914747687e+04 4.0946019559e-01
2.3958012462e-02 3.3985270370e+04 4.0946019559e-01
2.5609601289e-02 3.2874486321e+04 4.0946019559e-01
2.7375046164e-02 3.1598800925e+04 4.0946019559e-01
2.9262196273e-02 3.0182512090e+04 4.0946019559e-01
3.1279440969e-02 2.8657932573e+04 4.0946019559e-01
3.3435747027e-02 2.7064577418e+04 4.0946019559e-01
3.5740699619e-02 2.5447582550e+04 4.0946019559e-01
3.8204550743e-02 2.3854994806e+04 4.0946019559e-01
4.0838252753e-02 2.2334100893e+04 4.0946019559e-01
4.3653514236e-02 2.0926942342e+04 4.0946019559e-01
4.6478152275e-02 1.9735884616e+04 4.0946019559e-01
4.9302790314e-02 1.8745547486e+04 4.0946019559e-01
5.2127432078e-02 1.7926010711e+04 4.0946019559e-01
5.4952070117e-02 1.7241938494e+04 4.0946019559e-01
5.7776708156e-02 1.6656215584e+04 4.0946019559e-01
6.0601349920e-02 1.6132488311e+04 4.0946019559e-01
6.3425987959e-02 1.5637859991e+04 4.0946019559e-01
6.6250629723e-02 1.5144897547e+04 4.0946019559e-01
6.9075264037e-02 1.4633692012e+04 4.0946019559e-01
7.1899905801e-02 1.4090692125e+04 4.0946019559e-01
7.4724547565e-02 1.3510574073e+04 4.0946019559e-01
7.7549181879e-02 1.2898348588e+04 4.0946019559e-01
8.0373823643e-02 1.2260322410e+04 4.0946019559e-01
8.3198465407e-02 1.1609021647e+04 4.0946019559e-01
8.6023099720e-02 1.0961209903e+04 4.0946019559e-01
8.8847741485e-02 1.0334598035e+04 4.0946019559e-01
9.1672383249e-02 9.7434260786e+03 4.0946019559e-01
9.5292858779e-02 9.0522797137e+03 4.0946019559e-01
9.8913334310e-02 8.4485539833e+03 4.0946019559e-01
1.0253380984e-01 7.9417410318e+03 4.0946019559e-01
1.0615429282e-01 7.5313020706e+03 4.0946019559e-01
1.0977476835e-01 7.2051187249e+03 4.0946019559e-01
1.1339524388e-01 6.9461507130e+03 4.0946019559e-01
1.1701571941e-01 6.7365808786e+03 4.0946019559e-01
1.2063620240e-01 6.5571402482e+03 4.0946019559e-01
1.2425667793e-01 6.3885795070e+03 4.0946019559e-01
1.2787716091e-01 6.2151398166e+03 4.0946019559e-01
1.3149763644e-01 6.0257632691e+03 4.0946019559e-01
1.3511811197e-01 5.8128809770e+03 4.0946019559e-01
1.3873858750e-01 5.5760742867e+03 4.0946019559e-01
1.4235906303e-01 5.3208959974e+03 4.0946019559e-01
1.4597953856e-01 5.0561338238e+03 4.0946019559e-01
1.4960001409e-01 4.7910458287e+03 4.0946019559e-01
1.5322048962e-01 4.5348482096e+03 4.0946019559e-01
1.5684096515e-01 4.2963425150e+03 4.0946019559e-01
1.6046145558e-01 4.0823975715e+03 4.0946019559e-01
1.6408193111e-01 3.8966997125e+03 4.0946019559e-01
1.6770240664e-01 3.7398215827e+03 4.0946019559e-01
1.7132288217e-01 3.6099462270e+03 4.0946019559e-01
1.7494335771e-01 3.5033625567e+03 4.0946019559e-01
1.7856383324e-01 3.4148181112e+03 4.0946019559e-01
1.8218430877e-01 3.3382031006e+03 4.0946019559e-01
1.8580478430e-01 3.2674718071e+03 4.0946019559e-01
1.8942527473e-01 3.1973364574e+03 4.0946019559e-01
1.9304575026e-01 3.1235697454e+03 4.0946019559e-01
1.9666622579e-01 3.0432636688e+03 4.0946019559e-01
2.0028670132e-01 2.9551524385e+03 4.0946019559e-01
2.0390717685e-01 2.8597278810e+03 4.0946019559e-01
2.0752765238e-01 2.7588792150e+03 4.0946019559e-01
2.1114812791e-01 2.6553045698e+03 4.0946019559e-01
2.1476860344e-01 2.5520790451e+03 4.0946019559e-01
2.1838907898e-01 2.4523019495e+03 4.0946019559e-01
2.2200956941e-01 2.3586466573e+03 4.0946019559e-01
2.2563004494e-01 2.2730273242e+03 4.0946019559e-01
2.2925052047e-01 2.1965448264e+03 4.0946019559e-01
2.3287099600e-01 2.1294732909e+03 4.0946019559e-01
2.3649147153e-01 2.0711965691e+03 4.0946019559e-01
2.4011194706e-01 2.0204210223e+03 4.0946019559e-01
2.4373242259e-01 1.9755694198e+03 4.0946019559e-01
2.4735289812e-01 1.9349089009e+03 4.0946019559e-01
2.5097337365e-01 1.8965054694e+03 4.0946019559e-01
2.5459384918e-01 1.8584937517e+03 4.0946019559e-01
2.5821432471e-01 1.8195209517e+03 4.0946019559e-01
2.6183480024e-01 1.7788389541e+03 4.0946019559e-01
2.6545527577e-01 1.7361243036e+03 4.0946019559e-01
2.6907578111e-01 1.6914354298e+03 4.0946019559e-01
2.7269625664e-01 1.6452450469e+03 4.0946019559e-01
2.7631673217e-01 1.5983384027e+03 4.0946019559e-01
2.7993720770e-01 1.5516605617e+03 4.0946019559e-01
2.8355768323e-01 1.5062027310e+03 4.0946019559e-01
2.8717815876e-01 1.4628483601e+03 4.0946019559e-01
2.9079863429e-01 1.4222217885e+03 4.0946019559e-01
2.9441910982e-01 1.3846697704e+03 4.0946019559e-01
2.9803958535e-01 1.3503102567e+03 4.0946019559e-01
3.0166006088e-01 1.3190386752e+03 4.0946019559e-01
3.0528053641e-01 1.2905282943e+03 4.0946019559e-01
3.0890101194e-01 1.2642779131e+03 4.0946019559e-01
3.1252148747e-01 1.2396938630e+03 4.0946019559e-01
3.1614196301e-01 1.2161768328e+03 4.0946019559e-01
3.1976243854e-01 1.1931930395e+03 4.0946019559e-01
3.2338291407e-01 1.1703033522e+03 4.0946019559e-01
3.2700338960e-01 1.1471840427e+03 4.0946019559e-01
3.3062389493e-01 1.1236688327e+03 4.0946019559e-01
3.3424437046e-01 1.0997553560e+03 4.0946019559e-01
3.3786484599e-01 1.0755601075e+03 4.0946019559e-01
3.4148532152e-01 1.0512847688e+03 4.0946019559e-01
3.4510579705e-01 1.0272064701e+03 4.0946019559e-01
3.4872627258e-01 1.0036280981e+03 4.0946019559e-01
3.5234674811e-01 9.8080612340e+02 4.0946019559e-01
3.5596722364e-01 9.5893558384e+02 4.0946019559e-01
3.5958769917e-01 9.3816555639e+02 4.0946019559e-01
3.6320817471e-01 9.1858022679e+02 4.0946019559e-01
3.6682865024e-01 9.0017022082e+02 4.0946019559e-01
3.7044912577e-01 8.8284225162e+02 4.0946019559e-01
3.7406960130e-01 8.6644878940e+02 4.0946019559e-01
3.7769007683e-01 8.5081145146e+02 4.0946019559e-01
3.8131055236e-01 8.3574621235e+02 4.0946019559e-01
3.8493102789e-01 8.2108697593e+02 4.0946019559e-01
3.8855153322e-01 8.0668948884e+02 4.0946019559e-01
3.9217200875e-01 7.9242615283e+02 4.0946019559e-01
3.9579248428e-01 7.7820750351e+02 4.0946019559e-01
3.9941295981e-01 7.6400532728e+02 4.0946019559e-01
4.0303343535e-01 7.4984838382e+02 4.0946019559e-01
4.0665391088e-01 7.3579346435e+02 4.0946019559e-01
4.1027438641e-01 7.2190468652e+02 4.0946019559e-01
4.1389486194e-01 7.0825262984e+02 4.0946019559e-01
4.1751533747e-01 6.9491506370e+02 4.0946019559e-01
4.2113581300e-01 6.8196852884e+02 4.0946019559e-01
4.2475628853e-01 6.6947131820e+02 4.0946019559e-01
4.2837676406e-01 6.5745114479e+02 4.0946019559e-01
4.3199723959e-01 6.4590782659e+02 4.0946019559e-01
4.3561771512e-01 6.3482047645e+02 4.0946019559e-01
4.3923819065e-01 6.2415450996e+02 4.0946019559e-01
4.4285866618e-01 6.1386437581e+02 4.0946019559e-01
4.4647914171e-01 6.0389619516e+02 4.0946019559e-01
4.5009964704e-01 5.9419021890e+02 4.0946019559e-01
4.5372012258e-01 5.8468810859e+02 4.0946019559e-01
4.5734059811e-01 5.7534431293e+02 4.0946019559e-01
4.6096107364e-01 5.6613098239e+02 4.0946019559e-01
4.6458154917e-01 5.5703373713e+02 4.0946019559e-01
4.6820202470e-01 5.4804611532e+02 4.0946019559e-01
4.7182250023e-01 5.3916939114e+02 4.0946019559e-01
4.7544297576e-01 5.3041607866e+02 4.0946019559e-01
4.7906345129e-01 5.2180692854e+02 4.0946019559e-01
4.8268392682e-01 5.1336637739e+02 4.0946019559e-01
4.8630440235e-01 5.0511781518e+02 4.0946019559e-01
4.8992487788e-01 4.9707766951e+02 4.0946019559e-01
4.9354535341e-01 4.8925267523e+02 4.0946019559e-01
4.9716582894e-01 4.8164383347e+02 4.0946019559e-01
5.0078630447e-01 4.7425087120e+02 4.0946019559e-01
5.0440680981e-01 4.6706946536e+02 4.0946019559e-01
5.0802725554e-01 4.6008714737e+02 4.0946019559e-01
5.1164776087e-01 4.5328348513e+02 4.0946019559e-01
5.1526820660e-01 4.4663613529e+02 4.0946019559e-01
5.1888871193e-01 4.4012725958e+02 4.0946019559e-01
5.2250915766e-01 4.3374379783e+02 4.0946019559e-01
5.2612966299e-01 4.2747501069e+02 4.0946019559e-01
5.2975010872e-01 4.2131006777e+02 4.0946019559e-01
5.3337061405e-01 4.1524018645e+02 4.0946019559e-01
5.3699105978e-01 4.0926118020e+02 4.0946019559e-01
5.4061156511e-01 4.0337596139e+02 4.0946019559e-01
5.4423207045e-01 3.9759062780e+02 4.0946019559e-01
5.4785251617e-01 3.9191064013e+02 4.0946019559e-01
5.5147302151e-01 3.8633831916e+02 4.0946019559e-01
5.5509346724e-01 3.8087562165e+02 4.0946019559e-01
5.5871397257e-01 3.7552591502e+02 4.0946019559e-01
5.6233441830e-01 3.7029336306e+02 4.0946019559e-01
5.6595492363e-01 3.6517937645e+02 4.0946019559e-01
5.6957536936e-01 3.6017983691e+02 4.0946019559e-01
5.7319587469e-01 3.5528878318e+02 4.0946019559e-01
5.7681632042e-01 3.5050007198e+02 4.0946019559e-01
5.8043682575e-01 3.4580924374e+02 4.0946019559e-01
