z(iz=00)            wb(ip=00)           h(ip=01)           wm(ip=02)            ns(ip=03) 
4.0000000000e-01        0.022445000000000007        0.67        0.14364800000000003        0.96
   k(h/Mpc)      Pk/s8^2(Mpc/h)^3       s8 
1.0253380984e-01 7.9423120635e+03 6.5946368585e-01
1.0615429282e-01 7.5317326176e+03 6.5946368585e-01
1.0977476835e-01 7.2054334119e+03 6.5946368585e-01
1.1339524388e-01 6.9463652833e+03 6.5946368585e-01
1.1701571941e-01 6.7367082911e+03 6.5946368585e-01
1.2063620240e-01 6.5571896389e+03 6.5946368585e-01
1.2425667793e-01 6.3885606696e+03 6.5946368585e-01
1.2787716091e-01 6.2150589069e+03 6.5946368585e-01
1.3149763644e-01 6.0257155129e+03 6.5946368585e-01
1.3511811197e-01 5.8127817354e+03 6.5946368585e-01
1.3873858750e-01 5.5759330960e+03 6.5946368585e-01
1.4235906303e-01 5.3207199757e+03 6.5946368585e-01
1.4597953856e-01 5.0559274375e+03 6.5946368585e-01
1.4960001409e-01 4.7908160344e+03 6.5946368585e-01
1.5322048962e-01 4.5346005671e+03 6.5946368585e-01
1.5684096515e-01 4.2960804135e+03 6.5946368585e-01
1.6046145558e-01 4.0821232372e+03 6.5946368585e-01
1.6408193111e-01 3.8964145092e+03 6.5946368585e-01
1.6770240664e-01 3.7395276811e+03 6.5946368585e-01
1.7132288217e-01 3.6096444373e+03 6.5946368585e-01
1.7494335771e-01 3.5030515184e+03 6.5946368585e-01
1.7856383324e-01 3.4144983210e+03 6.5946368585e-01
1.8218430877e-01 3.3378753275e+03 6.5946368585e-01
1.8580478430e-01 3.2671370182e+03 6.5946368585e-01
1.8942527473e-01 3.1969951769e+03 6.5946368585e-01
1.9304575026e-01 3.1232240027e+03 6.5946368585e-01
1.9666622579e-01 3.0429149768e+03 6.5946368585e-01
2.0028670132e-01 2.9548030254e+03 6.5946368585e-01
2.0390717685e-01 2.8593804803e+03 6.5946368585e-01
2.0752765238e-01 2.7585344262e+03 6.5946368585e-01
2.1114812791e-01 2.6549639866e+03 6.5946368585e-01
2.1476860344e-01 2.5517435685e+03 6.5946368585e-01
2.1838907898e-01 2.4519722798e+03 6.5946368585e-01
2.2200956941e-01 2.3583231396e+03 6.5946368585e-01
2.2563004494e-01 2.2727083545e+03 6.5946368585e-01
2.2925052047e-01 2.1962314607e+03 6.5946368585e-01
2.3287099600e-01 2.1291640265e+03 6.5946368585e-01
2.3649147153e-01 2.0708904969e+03 6.5946368585e-01
2.4011194706e-01 2.0201174484e+03 6.5946368585e-01
2.4373242259e-01 1.9752682403e+03 6.5946368585e-01
2.4735289812e-01 1.9346096065e+03 6.5946368585e-01
2.5097337365e-01 1.8962078677e+03 6.5946368585e-01
2.5459384918e-01 1.8581983943e+03 6.5946368585e-01
